label,n_pos,auc_real_real,auc_real_real_ci_lo,auc_real_real_ci_hi,auc_blank_blank,auc_realT_blankI,auc_blankT_realI,auc_blankT_realI_ci_lo,auc_blankT_realI_ci_hi,delta_real_minus_blankTrealI,delta_ci_lo,delta_ci_hi
Atelectasis,93,0.9825007680491551,0.9677157145710226,0.99418280082147,0.5822918586789556,0.6512319508448541,0.9857941628264209,0.9769219141526627,0.9936468471498304,-0.003293394777265757,-0.01367538002872693,0.0031624225196166225
Cardiomegaly,82,0.9816522600891922,0.9654385952037453,0.992734633245757,0.8156967461322469,0.9286048560259869,0.9843500523041347,0.9751134185799962,0.9916148506206367,-0.002697792214942596,-0.014036596330575033,0.006328154349782013
Effusion,41,0.9757676217538874,0.9529643786283234,0.9937087392776186,0.8267950640671454,0.8735759202252217,0.972268266371984,0.9458386947960984,0.9936130445597389,0.0034993553819033796,-0.0030089148678854732,0.012975551113814756
Pneumonia,22,0.9681433788199116,0.9394971675923902,0.9935727874793058,0.49452239092831063,0.6647126657697482,0.9434941379973093,0.8730148679126689,0.9940944322744921,0.024649240822602336,-0.002616035263417388,0.06869656459853309
Pneumothorax,6,0.9977477477477478,0.9918765031556179,1.0,0.6342688842688843,0.9182259182259183,0.9970547470547471,0.9898015389279103,1.0,0.0006930006930007115,-0.0005310079221459152,0.002932331675728747
Edema,25,0.9505832449628844,0.87770826847012,0.996900657662183,0.7919406150583245,0.8780063626723225,0.970307529162248,0.9364434304739924,0.9944454051609728,-0.019724284199363673,-0.059333851264045584,0.005007103193519664
Emphysema,32,0.9494190705128205,0.8862546337634171,0.9936397606638189,0.8204794337606838,0.8571047008547009,0.9576322115384615,0.9158949565955339,0.9921869472557114,-0.008213141025640969,-0.04194756171401241,0.018042691534137813
Fibrosis,6,0.9462924462924462,0.8737241814317238,0.9993091537132988,0.8381843381843381,0.8556826056826058,0.953915453915454,0.8668309128630705,0.9989617130509344,-0.007623007623007716,-0.07339479477876971,0.04245407120091413
Infiltration,19,0.9684986966890355,0.9393775368999457,0.9930781824274955,0.5564305917586378,0.7677333481226776,0.9612334313127392,0.9296354515538099,0.9890270905052068,0.007265265376296348,-0.01338092795526341,0.029357391266904207
Mass,5,0.991484942886812,0.9779805249538309,1.0,0.41931464174454824,0.8546209761163033,0.9667705088265836,0.9157859032372982,0.9968911917098446,0.02471443406022844,-0.0042086625802116385,0.07107868063365268
Nodule,28,0.9894376899696049,0.9674976798535639,0.9996065245934256,0.5354103343465045,0.6169072948328267,0.993806990881459,0.983602042182999,0.9992894368105167,-0.004369300911854057,-0.016073074982147828,0.0012793351079047528
Hernia,12,0.9996513249651325,0.9986618625028398,1.0,0.783734309623431,0.7493898186889819,0.9993898186889819,0.997905449375879,1.0,0.00026150627615062483,0.0,0.0010460251046024993
Fracture,27,0.9830755303656472,0.9559401691429644,1.0,0.5947967095682292,0.7204313771795173,0.9959066399023891,0.989607494936233,1.0,-0.012831109536741936,-0.03403533367952037,0.0004821769452461459
Pleural_Thickening,13,0.9998389045509464,0.999302649930265,1.0,0.5120418848167541,0.7729359645590013,0.998872331856625,0.9962924407295723,1.0,0.0009665726943213215,0.0,0.00321809175239032
Opacity,132,0.9995922140060897,0.9989817799645591,0.9999623215160719,0.6115249383790053,0.6720041322314049,0.9988219515731478,0.996898783695518,0.9999094093516291,0.0007702624329418706,-5.119308210741191e-05,0.0022187300293940973
Consolidation,7,0.9915266835141966,0.9785768304615253,1.0,0.8103166344581537,0.891036123086071,0.9916753381893861,0.9792947720172851,1.0,-0.00014865467518954123,-0.006237006237006182,0.006066557843901719
Granuloma,105,0.9998675715941069,0.9995884838452257,1.0,0.4978094134525189,0.5967334326546377,0.9997020360867406,0.9992565872854628,0.9999789795593143,0.00016553550736631006,0.0,0.0004378644746402093
Calcinosis,129,0.9954079699901137,0.9856310876162117,0.9997951054079321,0.5338488972660329,0.6368230913509069,0.9930057007696501,0.9802046121957431,0.9992111646382347,0.0024022692204636042,0.00041363730933171027,0.0057552428480418215
Scoliosis,24,0.9915695621468926,0.9782605808041833,0.9996475544072502,0.7244879943502824,0.7138064971751412,0.980225988700565,0.9446183357564548,1.0,0.011343573446327637,-0.005078124999999975,0.03949338187493059
Atherosclerosis,33,1.0,0.9999999999999999,1.0,0.6748014908442715,0.7466212931453573,1.0,0.9999999999999999,1.0,0.0,-1.1102230246251565e-16,1.1102230246251565e-16
Normal,553,0.9875552844288547,0.9787059701142633,0.9945514615704125,0.6316128891696986,0.6951349702607901,0.9853460859713719,0.9751867109494138,0.9929718105281958,0.002209198457482797,0.00037572074371862164,0.004420117018306985
